Date,Origin,Destination,Round Trip,Price 
2022-01-01,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,686
2022-01-01,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,488
2022-01-01,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,836
2022-01-01,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,503
2022-01-01,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,621
2022-01-01,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,518
2022-01-01,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,431
2022-01-01,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,465
2022-01-01,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,410
2022-01-01,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,564
2022-01-01,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,525
2022-01-01,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,568
2022-01-01,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,661
2022-01-01,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,447
2022-01-01,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,597
2022-01-01,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,531
2022-01-01,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,830
2022-01-01,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,699
2022-01-01,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,517
2022-01-01,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,799
2022-01-02,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,599
2022-01-02,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,314
2022-01-02,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,906
2022-01-02,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,433
2022-01-02,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,879
2022-01-02,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,529
2022-01-02,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,377
2022-01-02,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,555
2022-01-02,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,436
2022-01-02,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,428
2022-01-02,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,520
2022-01-02,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,550
2022-01-02,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,546
2022-01-02,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,356
2022-01-02,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,644
2022-01-02,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,782
2022-01-02,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,973
2022-01-02,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,663
2022-01-02,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,521
2022-01-02,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,970
2022-01-03,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,554
2022-01-03,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,519
2022-01-03,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,962
2022-01-03,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,664
2022-01-03,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,1000
2022-01-03,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,467
2022-01-03,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,333
2022-01-03,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,467
2022-01-03,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,303
2022-01-03,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,696
2022-01-03,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,524
2022-01-03,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,604
2022-01-03,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,611
2022-01-03,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,393
2022-01-03,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,463
2022-01-03,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,884
2022-01-03,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,576
2022-01-03,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,920
2022-01-03,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,977
2022-01-03,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,963
2022-01-04,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,978
2022-01-04,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,378
2022-01-04,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,554
2022-01-04,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,477
2022-01-04,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,558
2022-01-04,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,617
2022-01-04,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,338
2022-01-04,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,386
2022-01-04,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,494
2022-01-04,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,626
2022-01-04,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,683
2022-01-04,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,426
2022-01-04,Los Angeles Airport (LAX),Toronto Pearson Airport (YYZ),Yes,515
2022-01-04,Los Angeles Airport (LAX),San Francisco Airport (SFO),Yes,546
2022-01-04,Los Angeles Airport (LAX),LaGuardia Airport (LGA),Yes,493
2022-01-04,Los Angeles Airport (LAX),Vancouver Airport (YVR),Yes,633
2022-01-04,Vancouver Airport (YVR),Toronto Pearson Airport (YYZ),Yes,857
2022-01-04,Vancouver Airport (YVR),San Francisco Airport (SFO),Yes,667
2022-01-04,Vancouver Airport (YVR),LaGuardia Airport (LGA),Yes,906
2022-01-04,Vancouver Airport (YVR),Los Angeles Airport (LAX),Yes,576
2022-01-05,Toronto Pearson Airport (YYZ),San Francisco Airport (SFO),Yes,828
2022-01-05,Toronto Pearson Airport (YYZ),LaGuardia Airport (LGA),Yes,352
2022-01-05,Toronto Pearson Airport (YYZ),Los Angeles Airport (LAX),Yes,793
2022-01-05,Toronto Pearson Airport (YYZ),Vancouver Airport (YVR),Yes,445
2022-01-05,San Francisco Airport (SFO),Toronto Pearson Airport (YYZ),Yes,814
2022-01-05,San Francisco Airport (SFO),LaGuardia Airport (LGA),Yes,603
2022-01-05,San Francisco Airport (SFO),Los Angeles Airport (LAX),Yes,338
2022-01-05,San Francisco Airport (SFO),Vancouver Airport (YVR),Yes,459
2022-01-05,LaGuardia Airport (LGA),Toronto Pearson Airport (YYZ),Yes,370
2022-01-05,LaGuardia Airport (LGA),San Francisco Airport (SFO),Yes,482
2022-01-05,LaGuardia Airport (LGA),Los Angeles Airport (LAX),Yes,441
2022-01-05,LaGuardia Airport (LGA),Vancouver Airport (YVR),Yes,530
